trial,cage,side,light,position,width,stipples
1,Warm,Left,Light,8,38,23
1,Warm,Left,Light,1,12,0
1,Warm,Left,Light,4,18,0
1,Warm,Left,Light,6,24,0
1,Warm,Left,Light,4,31,45
1,Warm,Left,Light,3,16,0
1,Warm,Left,Light,1,14,0
1,Warm,Left,Light,1,14,0
1,Warm,Left,Light,1,12,1
1,Warm,Left,Light,5,27,9
1,Warm,Right,Dark,10,37,0
1,Warm,Right,Dark,9,35,0
1,Warm,Right,Dark,9,32,0
1,Warm,Right,Dark,1,13,0
1,Warm,Right,Dark,5,24,0
1,Warm,Right,Dark,4,23,0
1,Warm,Right,Dark,9,44,40
1,Warm,Right,Dark,4,19,0
1,Warm,Right,Dark,3,17,0
1,Warm,Right,Dark,6,28,16
1,Cool,Left,Light,7,30,35
1,Cool,Left,Light,2,14,0
1,Cool,Left,Light,2,15,0
1,Cool,Left,Light,8,29,17
1,Cool,Left,Light,2,11,0
1,Cool,Left,Light,2,19,22
1,Cool,Left,Light,8,40,25
1,Cool,Left,Light,5,29,5
1,Cool,Left,Light,7,32,0
1,Cool,Left,Light,1,13,16
1,Cool,Right,Dark,9,40,0
1,Cool,Right,Dark,4,20,0
1,Cool,Right,Dark,7,27,0
1,Cool,Right,Dark,9,34,0
1,Cool,Right,Dark,7,32,0
1,Cool,Right,Dark,5,32,0
1,Cool,Right,Dark,2,14,0
1,Cool,Right,Dark,8,36,0
1,Cool,Right,Dark,2,14,0
1,Cool,Right,Dark,5,14,0
2,Warm,Left,Dark,5,27,37
2,Warm,Left,Dark,5,26,3
2,Warm,Left,Dark,6,20,11
2,Warm,Left,Dark,2,11,0
2,Warm,Left,Dark,2,12,0
2,Warm,Left,Dark,13,31,0
2,Warm,Left,Dark,2,13,0
2,Warm,Left,Dark,2,16,1
2,Warm,Left,Dark,2,12,0
2,Warm,Left,Dark,10,26,0
2,Warm,Right,Light,1,14,25
2,Warm,Right,Light,3,18,28
2,Warm,Right,Light,4,21,3
2,Warm,Right,Light,9,43,5
2,Warm,Right,Light,6,26,15
2,Warm,Right,Light,1,12,0
2,Warm,Right,Light,6,26,5
2,Warm,Right,Light,7,23,0
2,Warm,Right,Light,3,15,0
2,Warm,Right,Light,2,15,0
2,Cool,Left,Dark,3,18,7
2,Cool,Left,Dark,4,22,0
2,Cool,Left,Dark,2,14,7
2,Cool,Left,Dark,7,37,0
2,Cool,Left,Dark,5,20,0
2,Cool,Left,Dark,7,23,0
2,Cool,Left,Dark,3,18,0
2,Cool,Left,Dark,9,26,0
2,Cool,Left,Dark,1,12,0
2,Cool,Left,Dark,9,29,0
2,Cool,Right,Light,2,21,24
2,Cool,Right,Light,1,10,0
2,Cool,Right,Light,1,12,0
2,Cool,Right,Light,8,27,0
2,Cool,Right,Light,15,38,6
2,Cool,Right,Light,3,17,8
2,Cool,Right,Light,1,13,0
2,Cool,Right,Light,3,17,0
2,Cool,Right,Light,5,18,0
2,Cool,Right,Light,8,22,0
3,Warm,Left,Light,5,33,1
3,Warm,Left,Light,4,26,0
3,Warm,Left,Light,2,25,0
3,Warm,Left,Light,16,44,1
3,Warm,Left,Light,13,31,25
3,Warm,Left,Light,2,13,1
3,Warm,Left,Light,14,41,56
3,Warm,Left,Light,1,9,0
3,Warm,Left,Light,7,32,50
3,Warm,Left,Light,8,47,26
3,Warm,Right,Dark,4,31,3
3,Warm,Right,Dark,5,34,1
3,Warm,Right,Dark,7,16,0
3,Warm,Right,Dark,6,20,0
3,Warm,Right,Dark,5,25,10
3,Warm,Right,Dark,4,13,0
3,Warm,Right,Dark,8,30,13
3,Warm,Right,Dark,14,55,33
3,Warm,Right,Dark,12,45,15
3,Warm,Right,Dark,9,41,17
3,Cool,Left,Light,2,20,18
3,Cool,Left,Light,6,30,35
3,Cool,Left,Light,9,28,47
3,Cool,Left,Light,2,12,3
3,Cool,Left,Light,3,18,49
3,Cool,Left,Light,5,12,3
3,Cool,Left,Light,4,15,22
3,Cool,Left,Light,4,18,19
3,Cool,Left,Light,8,35,98
3,Cool,Left,Light,1,12,2
3,Cool,Right,Dark,1,12,2
3,Cool,Right,Dark,5,33,2
3,Cool,Right,Dark,1,10,0
3,Cool,Right,Dark,9,26,0
3,Cool,Right,Dark,9,31,1
3,Cool,Right,Dark,19,40,0
3,Cool,Right,Dark,2,10,0
3,Cool,Right,Dark,9,44,2
3,Cool,Right,Dark,3,16,0
3,Cool,Right,Dark,7,38,4
4,Warm,Left,Light,5,23,3
4,Warm,Left,Light,6,24,0
4,Warm,Left,Light,6,33,7
4,Warm,Left,Light,2,12,2
4,Warm,Left,Light,10,31,17
4,Warm,Left,Light,4,44,12
4,Warm,Left,Light,7,36,25
4,Warm,Left,Light,4,22,7
4,Warm,Left,Light,3,12,7
4,Warm,Left,Light,3,17,5
4,Warm,Right,Dark,4,11,0
4,Warm,Right,Dark,4,28,0
4,Warm,Right,Dark,7,29,0
4,Warm,Right,Dark,4,20,0
4,Warm,Right,Dark,1,18,0
4,Warm,Right,Dark,3,12,0
4,Warm,Right,Dark,2,16,0
4,Warm,Right,Dark,5,28,1
4,Warm,Right,Dark,2,12,0
4,Warm,Right,Dark,2,18,0
4,Cool,Left,Light,6,36,1
4,Cool,Left,Light,3,17,1
4,Cool,Left,Light,6,22,0
4,Cool,Left,Light,5,21,7
4,Cool,Left,Light,6,45,2
4,Cool,Left,Light,2,10,0
4,Cool,Left,Light,1,10,1
4,Cool,Left,Light,1,9,2
4,Cool,Left,Light,1,8,0
4,Cool,Left,Light,3,20,0
4,Cool,Right,Dark,3,14,0
4,Cool,Right,Dark,1,12,1
4,Cool,Right,Dark,5,28,0
4,Cool,Right,Dark,11,44,0
4,Cool,Right,Dark,3,37,0
4,Cool,Right,Dark,9,47,0
4,Cool,Right,Dark,3,18,0
4,Cool,Right,Dark,6,33,0
4,Cool,Right,Dark,5,20,0
4,Cool,Right,Dark,5,30,0
5,Warm,Left,Dark,14,40,6
5,Warm,Left,Dark,10,37,2
5,Warm,Left,Dark,5,24,4
5,Warm,Left,Dark,3,38,1
5,Warm,Left,Dark,15,15,0
5,Warm,Left,Dark,3,13,0
5,Warm,Left,Dark,5,28,15
5,Warm,Left,Dark,2,22,3
5,Warm,Left,Dark,8,42,37
5,Warm,Left,Dark,2,12,0
5,Warm,Right,Light,5,24,3
5,Warm,Right,Light,11,40,4
5,Warm,Right,Light,9,36,2
5,Warm,Right,Light,6,36,1
5,Warm,Right,Light,14,40,3
5,Warm,Right,Light,12,42,0
5,Warm,Right,Light,1,22,0
5,Warm,Right,Light,9,42,14
5,Warm,Right,Light,4,20,1
5,Warm,Right,Light,4,34,2
5,Cool,Left,Dark,6,31,13
5,Cool,Left,Dark,6,34,4
5,Cool,Left,Dark,12,34,0
5,Cool,Left,Dark,7,22,0
5,Cool,Left,Dark,5,20,0
5,Cool,Left,Dark,3,28,4
5,Cool,Left,Dark,8,44,0
5,Cool,Left,Dark,2,18,0
5,Cool,Left,Dark,3,18,7
5,Cool,Left,Dark,1,12,0
5,Cool,Right,Light,1,14,0
5,Cool,Right,Light,1,14,19
5,Cool,Right,Light,1,18,2
5,Cool,Right,Light,6,30,13
5,Cool,Right,Light,8,26,19
5,Cool,Right,Light,4,32,0
5,Cool,Right,Light,10,42,20
5,Cool,Right,Light,6,34,46
5,Cool,Right,Light,9,26,0
5,Cool,Right,Light,5,21,3
6,Warm,Left,Dark,10,45,0
6,Warm,Left,Dark,12,56,27
6,Warm,Left,Dark,8,34,6
6,Warm,Left,Dark,2,21,0
6,Warm,Left,Dark,5,24,5
6,Warm,Left,Dark,3,29,1
6,Warm,Left,Dark,8,27.5,0
6,Warm,Left,Dark,8,39,1
6,Warm,Left,Dark,14,48,29
6,Warm,Left,Dark,6,35,0
6,Warm,Right,Light,12,44,11
6,Warm,Right,Light,1,11,4
6,Warm,Right,Light,7,43,16
6,Warm,Right,Light,4,25,0
6,Warm,Right,Light,3,22,0
6,Warm,Right,Light,8,72,62
6,Warm,Right,Light,5,28,0
6,Warm,Right,Light,5,27,7
6,Warm,Right,Light,7,46,2
6,Warm,Right,Light,8,36,0
6,Cool,Left,Dark,11,53,4
6,Cool,Left,Dark,8,61,2
6,Cool,Left,Dark,14,52,19
6,Cool,Left,Dark,5,39,0
6,Cool,Left,Dark,7,37,0
6,Cool,Left,Dark,1,28,0
6,Cool,Left,Dark,2,32,3
6,Cool,Left,Dark,3,37,0
6,Cool,Left,Dark,4,45,9
6,Cool,Left,Dark,7,53,11
6,Cool,Right,Light,15,66,2
6,Cool,Right,Light,9,64,15
6,Cool,Right,Light,3,37,0
6,Cool,Right,Light,8,43,0
6,Cool,Right,Light,10,75,7
6,Cool,Right,Light,6,39,0
6,Cool,Right,Light,7,50,6
6,Cool,Right,Light,4,41,2
6,Cool,Right,Light,5,50,11
6,Cool,Right,Light,1,24,0
