year	leaf_num	num_leaves	pos	width	stipples	eggs	temp	light	batch	batch_2015	room	cage	side	source	temp_c
2014	1	9	1	8	0	NA	warm	dark	1	1	1	1	1	NA	18.5106383
2014	2	12	2	14	0	NA	warm	dark	1	1	1	1	1	NA	18.5106383
2014	3	9	1	14	0	NA	warm	dark	1	1	1	1	1	NA	18.5106383
2014	4	11	9	10	0	NA	warm	dark	1	1	1	1	1	NA	18.5106383
2014	5	9	6	22	0	NA	warm	dark	1	1	1	1	1	NA	18.5106383
2014	7	8	7	21	0	NA	warm	dark	1	1	1	1	1	NA	18.5106383
2014	8	6	3	14	0	NA	warm	dark	1	1	1	1	1	NA	18.5106383
2014	9	9	1	14	0	NA	warm	dark	1	1	1	1	1	NA	18.5106383
2014	10	10	6	17	1	NA	warm	dark	1	1	1	1	1	NA	18.5106383
2014	11	7	5	21	49	NA	warm	dark	1	1	1	1	1	NA	18.5106383
2014	1	9	9	14	0	NA	warm	light	1	1	1	1	2	NA	18.65957447
2014	2	12	9	22	35	NA	warm	light	1	1	1	1	2	NA	18.65957447
2014	3	9	4	15	0	NA	warm	light	1	1	1	1	2	NA	18.65957447
2014	5	9	1	12	0	NA	warm	light	1	1	1	1	2	NA	18.65957447
2014	6	6	3	15	0	NA	warm	light	1	1	1	1	2	NA	18.65957447
2014	7	8	4	19	0	NA	warm	light	1	1	1	1	2	NA	18.65957447
2014	8	6	1	7	0	NA	warm	light	1	1	1	1	2	NA	18.65957447
2014	9	9	8	24	0	NA	warm	light	1	1	1	1	2	NA	18.65957447
2014	10	10	8	21	0	NA	warm	light	1	1	1	1	2	NA	18.65957447
2014	11	7	7	25	0	NA	warm	light	1	1	1	1	2	NA	18.65957447
2014	1	9	4	18	0	NA	cool	dark	1	2	2	1	1	NA	16.45744681
2014	2	12	3	16	0	NA	cool	dark	1	2	2	1	1	NA	16.45744681
2014	3	9	2	11	0	NA	cool	dark	1	2	2	1	1	NA	16.45744681
2014	5	9	7	22	0	NA	cool	dark	1	2	2	1	1	NA	16.45744681
2014	6	6	5	21	0	NA	cool	dark	1	2	2	1	1	NA	16.45744681
2014	7	8	5	17	0	NA	cool	dark	1	2	2	1	1	NA	16.45744681
2014	8	6	4	13	0	NA	cool	dark	1	2	2	1	1	NA	16.45744681
2014	9	9	2	17	0	NA	cool	dark	1	2	2	1	1	NA	16.45744681
2014	10	10	3	12	0	NA	cool	dark	1	2	2	1	1	NA	16.45744681
2014	11	7	2	16	0	NA	cool	dark	1	2	2	1	1	NA	16.45744681
2014	1	9	6	20	0	NA	cool	light	1	2	2	1	2	NA	16.64893617
2014	2	12	6	21	11	NA	cool	light	1	2	2	1	2	NA	16.64893617
2014	4	11	1	4	0	NA	cool	light	1	2	2	1	2	NA	16.64893617
2014	5	9	2	17	0	NA	cool	light	1	2	2	1	2	NA	16.64893617
2014	6	6	1	12	0	NA	cool	light	1	2	2	1	2	NA	16.64893617
2014	7	8	6	23	0	NA	cool	light	1	2	2	1	2	NA	16.64893617
2014	9	9	6	23	0	NA	cool	light	1	2	2	1	2	NA	16.64893617
2014	10	10	10	24	0	NA	cool	light	1	2	2	1	2	NA	16.64893617
2014	11	7	6	24	0	NA	cool	light	1	2	2	1	2	NA	16.64893617
2014	12	8	7	23	0	NA	cool	light	1	2	2	1	2	NA	16.64893617
2014	1	6	4	26	0	NA	warm	light	2	3	1	1	1	NA	21.29245283
2014	2	9	9	16	0	NA	warm	light	2	3	1	1	1	NA	21.29245283
2014	3	10	3	13	0	NA	warm	light	2	3	1	1	1	NA	21.29245283
2014	4	8	8	30	12	NA	warm	light	2	3	1	1	1	NA	21.29245283
2014	5	11	6	23	2	NA	warm	light	2	3	1	1	1	NA	21.29245283
2014	7	13	7	26	3	NA	warm	light	2	3	1	1	1	NA	21.29245283
2014	8	9	7	31	13	NA	warm	light	2	3	1	1	1	NA	21.29245283
2014	9	8	2	17	3	NA	warm	light	2	3	1	1	1	NA	21.29245283
2014	10	12	3	23	46	NA	warm	light	2	3	1	1	1	NA	21.29245283
2014	11	12	1	14	18	NA	warm	light	2	3	1	1	1	NA	21.29245283
2014	1	6	5	29	2	NA	warm	dark	2	3	1	1	2	NA	21.14150943
2014	2	9	4	16	3	NA	warm	dark	2	3	1	1	2	NA	21.14150943
2014	3	10	5	20	0	NA	warm	dark	2	3	1	1	2	NA	21.14150943
2014	4	8	5	26	10	NA	warm	dark	2	3	1	1	2	NA	21.14150943
