temp	cage	trial	light	temp_f	sd_f	temp_c	sd_c	year
Warm	1	1	Dark	72.30434783	2.760374948	22.39130435	1.533541638	2015
Warm	1	2	Dark	77.4980427	1.956399913	25.27669039	1.08688884	2015
Warm	1	3	Dark	76.31444043	2.151598286	24.61913357	1.195332381	2015
Warm	1	4	Dark	74.71024735	2.358610873	23.72791519	1.310339374	2015
Warm	1	5	Dark	72.34537445	1.50254037	22.41409692	0.83474465	2015
Warm	1	1	Light	72.68149688	2.762843237	22.6008316	1.53491291	2015
Warm	1	2	Light	77.89028777	1.779587741	25.49460432	0.988659856	2015
Warm	1	3	Light	76.61567568	2.271759453	24.78648649	1.262088585	2015
Warm	1	4	Light	74.46060071	2.336804942	23.58922261	1.298224968	2015
Warm	1	5	Light	72.7205298	1.472415294	22.62251656	0.818008497	2015
Warm	2	1	Dark	72.80809129	2.730241224	22.67116183	1.51680068	2015
Warm	2	2	Dark	77.24646643	2.025792943	25.1369258	1.125440524	2015
Warm	2	3	Dark	76.17472924	2.117850684	24.54151625	1.176583713	2015
Warm	2	4	Dark	73.63582888	2.292818696	23.13101604	1.273788164	2015
Warm	2	5	Dark	72.86593407	1.444663565	22.7032967	0.802590869	2015
Warm	2	1	Light	71.99957717	2.65861245	22.22198732	1.477006917	2015
Warm	2	2	Light	76.24761905	2.091871483	24.58201058	1.162150824	2015
Warm	2	3	Light	75.57364621	2.212007032	24.20758123	1.228892795	2015
Warm	2	4	Light	74.46684492	2.117774824	23.59269162	1.176541569	2015
Warm	2	5	Light	72.01125828	1.461794102	22.22847682	0.812107835	2015
Cool	1	1	Dark	67.90881801	1.76951448	19.94934334	0.9830636	2015
Cool	1	2	Dark	68.53038397	2.794897109	20.29465776	1.552720616	2015
Cool	1	3	Dark	67.17487521	2.104230111	19.54159734	1.169016728	2015
Cool	1	4	Dark	68.35169231	1.860266205	20.19538462	1.033481225	2015
Cool	1	5	Dark	67.74100719	1.649354248	19.85611511	0.916307915	2015
Cool	1	1	Light	67.93426966	1.866382192	19.96348315	1.036878996	2015
Cool	1	2	Light	69.03741611	2.75047914	20.57634228	1.528043966	2015
Cool	1	3	Light	67.29168053	2.229124792	19.60648918	1.238402662	2015
Cool	1	4	Light	68.87369231	1.865525426	20.48538462	1.036403014	2015
Cool	1	5	Light	67.92877698	1.66632766	19.96043165	0.925737589	2015
Cool	2	1	Dark	67.90206379	1.667247366	19.94559099	0.926248536	2015
Cool	2	2	Dark	68.5041806	2.509979929	20.28010033	1.394433294	2015
Cool	2	3	Dark	67.42334437	1.918151423	19.67963576	1.06563968	2015
Cool	2	4	Dark	68.30508475	1.776029184	20.16949153	0.98668288	2015
Cool	2	5	Dark	67.06438849	1.662211103	19.48021583	0.923450613	2015
