site_id	stem_id_old	stem_id	site_type	stipples	mines	area	leaf_id_old	leaf_id
4	1	4_1	sun	11	3	12	A	4_1_A
4	1	4_1	sun	14	1	16	B	4_1_B
4	2	4_2	sun	33	8	25	A	4_2_A
4	2	4_2	sun	12	2	12	B	4_2_B
4	3	4_3	sun	16	2	25	A	4_3_A
4	3	4_3	sun	18	11	25	B	4_3_B
4	4	4_4	sun	5	3	9	A	4_4_A
4	4	4_4	sun	6	0	16	B	4_4_B
4	5	4_5	sun	0	10	4	A	4_5_A
4	5	4_5	sun	19	2	9	B	4_5_B
4	6	4_6	sun	9	0	16	A	4_6_A
4	6	4_6	sun	11	0	16	B	4_6_B
4	7	4_7	sun	28	2	25	A	4_7_A
4	7	4_7	sun	15	2	25	B	4_7_B
4	8	4_8	sun	14	2	9	A	4_8_A
4	8	4_8	sun	14	5	9	B	4_8_B
4	9	4_9	sun	10	0	9	A	4_9_A
4	9	4_9	sun	15	3	9	B	4_9_B
4	10	4_10	sun	29	2	9	A	4_10_A
4	10	4_10	sun	46	1	9	B	4_10_B
5	1	5_1	sun	14	1	NA	A	5_1_A
5	1	5_1	sun	8	0	4	B	5_1_B
5	2	5_2	sun	20	8	25	A	5_2_A
5	2	5_2	sun	30	7	36	B	5_2_B
5	3	5_3	sun	19	7	16	A	5_3_A
5	3	5_3	sun	20	4	36	B	5_3_B
5	4	5_4	sun	15	1	16	A	5_4_A
5	4	5_4	sun	11	1	16	B	5_4_B
5	5	5_5	sun	9	3	25	A	5_5_A
5	5	5_5	sun	11	0	25	B	5_5_B
5	6	5_6	sun	20	6	25	A	5_6_A
5	6	5_6	sun	21	3	36	B	5_6_B
5	7	5_7	sun	45	5	25	A	5_7_A
5	7	5_7	sun	47	11	25	B	5_7_B
5	8	5_8	sun	14	3	16	A	5_8_A
5	8	5_8	sun	10	3	12	B	5_8_B
5	9	5_9	sun	18	3	9	A	5_9_A
5	9	5_9	sun	24	1	15	B	5_9_B
5	10	5_10	sun	14	3	9	A	5_10_A
5	10	5_10	sun	10	3	9	B	5_10_B
6	1	6_1	shade	0	0	30	A	6_1_A
6	1	6_1	shade	1	0	15	B	6_1_B
6	2	6_2	shade	1	0	30	A	6_2_A
6	2	6_2	shade	1	0	30	B	6_2_B
6	3	6_3	shade	1	0	4	A	6_3_A
6	3	6_3	shade	0	0	4	B	6_3_B
6	4	6_4	shade	27	0	30	A	6_4_A
6	4	6_4	shade	0	0	25	B	6_4_B
6	5	6_5	shade	3	0	9	A	6_5_A
6	5	6_5	shade	0	0	20	B	6_5_B
6	6	6_6	shade	4	0	30	A	6_6_A
6	6	6_6	shade	4	0	30	B	6_6_B
6	7	6_7	shade	0	0	4	A	6_7_A
6	7	6_7	shade	0	0	4	B	6_7_B
6	8	6_8	shade	0	0	20	A	6_8_A
6	8	6_8	shade	4	0	16	B	6_8_B
6	9	6_9	shade	6	0	4	A	6_9_A
6	9	6_9	shade	5	0	4	B	6_9_B
6	10	6_10	shade	1	0	16	A	6_10_A
6	10	6_10	shade	0	0	16	B	6_10_B
7	1	7_1	sun	13	10	9	A	7_1_A
7	1	7_1	sun	24	2	9	B	7_1_B
7	2	7_2	sun	41	3	12	A	7_2_A
7	2	7_2	sun	41	4	12	B	7_2_B
7	3	7_3	sun	21	4	9	A	7_3_A
7	3	7_3	sun	21	3	9	B	7_3_B
7	4	7_4	sun	35	5	9	A	7_4_A
7	4	7_4	sun	26	6	16	B	7_4_B
7	5	7_5	sun	28	6	15	A	7_5_A
7	5	7_5	sun	18	2	12	B	7_5_B
7	6	7_6	sun	37	2	16	A	7_6_A
7	6	7_6	sun	46	11	16	B	7_6_B
7	7	7_7	sun	28	7	9	A	7_7_A
7	7	7_7	sun	21	1	9	B	7_7_B
7	8	7_8	sun	31	2	20	A	7_8_A
7	8	7_8	sun	46	4	12	B	7_8_B
7	9	7_9	sun	20	7	12	A	7_9_A
7	9	7_9	sun	21	11	12	B	7_9_B
7	10	7_10	sun	18	0	9	A	7_10_A
7	10	7_10	sun	45	6	12	B	7_10_B
8	1	8_1	shade	0	0	9	A	8_1_A
8	1	8_1	shade	1	0	12	B	8_1_B
8	2	8_2	shade	0	0	36	A	8_2_A
8	2	8_2	shade	0	0	25	B	8_2_B
8	3	8_3	shade	1	0	25	A	8_3_A
8	3	8_3	shade	3	1	16	B	8_3_B
8	4	8_4	shade	0	0	25	A	8_4_A
8	4	8_4	shade	1	0	16	B	8_4_B
8	5	8_5	shade	1	0	30	A	8_5_A
8	5	8_5	shade	0	0	16	B	8_5_B
8	6	8_6	shade	1	0	20	A	8_6_A
8	6	8_6	shade	0	0	20	B	8_6_B
8	7	8_7	shade	1	0	36	A	8_7_A
8	7	8_7	shade	3	0	30	B	8_7_B
8	8	8_8	shade	3	0	30	A	8_8_A
8	8	8_8	shade	3	0	36	B	8_8_B
8	9	8_9	shade	1	0	30	A	8_9_A
8	9	8_9	shade	2	0	36	B	8_9_B
8	10	8_10	shade	1	0	20	A	8_10_A
8	10	8_10	shade	5	0	30	B	8_10_B
9	1	9_1	sun	19	0	12	A	9_1_A
9	1	9_1	sun	4	1	12	B	9_1_B
9	2	9_2	sun	20	3	36	A	9_2_A
9	2	9_2	sun	28	1	36	B	9_2_B
9	3	9_3	sun	7	0	20	A	9_3_A
9	3	9_3	sun	19	0	20	B	9_3_B
9	4	9_4	sun	3	0	30	A	9_4_A
9	4	9_4	sun	5	0	30	B	9_4_B
9	5	9_5	sun	6	0	20	A	9_5_A
9	5	9_5	sun	10	0	20	B	9_5_B
9	6	9_6	sun	9	0	20	A	9_6_A
9	6	9_6	sun	10	0	20	B	9_6_B
9	7	9_7	sun	4	1	20	A	9_7_A
9	7	9_7	sun	11	1	20	B	9_7_B
9	8	9_8	sun	13	4	30	A	9_8_A
9	8	9_8	sun	11	1	30	B	9_8_B
9	9	9_9	sun	24	0	25	A	9_9_A
9	9	9_9	sun	16	1	20	B	9_9_B
9	10	9_10	sun	3	0	20	A	9_10_A
9	10	9_10	sun	2	3	25	B	9_10_B
10	1	10_1	shade	0	0	16	A	10_1_A
10	1	10_1	shade	3	0	16	B	10_1_B
10	2	10_2	shade	1	0	16	A	10_2_A
10	2	10_2	shade	1	0	9	B	10_2_B
10	3	10_3	shade	3	0	25	A	10_3_A
10	3	10_3	shade	3	0	25	B	10_3_B
10	4	10_4	shade	2	0	16	A	10_4_A
10	4	10_4	shade	2	0	16	B	10_4_B
10	5	10_5	shade	0	0	25	A	10_5_A
10	5	10_5	shade	3	0	16	B	10_5_B
10	6	10_6	shade	0	0	16	A	10_6_A
10	6	10_6	shade	1	0	16	B	10_6_B
10	7	10_7	shade	3	0	20	A	10_7_A
10	7	10_7	shade	3	0	20	B	10_7_B
10	8	10_8	shade	9	1	25	A	10_8_A
10	8	10_8	shade	8	0	16	B	10_8_B
10	9	10_9	shade	3	0	9	A	10_9_A
10	9	10_9	shade	5	0	16	B	10_9_B
10	10	10_10	shade	5	0	16	A	10_10_A
10	10	10_10	shade	3	0	20	B	10_10_B
11	1	11_1	sun	7	3	36	A	11_1_A
11	1	11_1	sun	6	3	42	B	11_1_B
11	2	11_2	sun	2	0	12	A	11_2_A
11	2	11_2	sun	4	2	20	B	11_2_B
11	3	11_3	sun	24	5	48	A	11_3_A
11	3	11_3	sun	4	2	42	B	11_3_B
11	4	11_4	sun	21	0	36	A	11_4_A
11	4	11_4	sun	10	0	36	B	11_4_B
11	5	11_5	sun	0	0	16	A	11_5_A
11	5	11_5	sun	0	0	16	B	11_5_B
11	6	11_6	sun	20	1	30	A	11_6_A
11	6	11_6	sun	17	0	30	B	11_6_B
11	7	11_7	sun	0	0	12	A	11_7_A
11	7	11_7	sun	0	0	9	B	11_7_B
11	8	11_8	sun	0	0	12	A	11_8_A
11	8	11_8	sun	0	0	16	B	11_8_B
11	9	11_9	sun	0	0	42	A	11_9_A
11	9	11_9	sun	0	0	20	B	11_9_B
12	1	12_1	shade	0	0	20	A	12_1_A
12	1	12_1	shade	3	0	36	B	12_1_B
12	2	12_2	shade	0	0	20	A	12_2_A
12	2	12_2	shade	10	0	25	B	12_2_B
12	3	12_3	shade	1	0	16	A	12_3_A
12	3	12_3	shade	8	0	36	B	12_3_B
12	4	12_4	shade	2	0	42	A	12_4_A
12	4	12_4	shade	11	0	36	B	12_4_B
12	5	12_5	shade	3	0	36	A	12_5_A
12	5	12_5	shade	0	0	25	B	12_5_B
12	6	12_6	shade	3	1	30	A	12_6_A
12	6	12_6	shade	8	0	25	B	12_6_B
12	7	12_7	shade	5	0	16	A	12_7_A
12	7	12_7	shade	8	0	16	B	12_7_B
12	8	12_8	shade	2	0	36	A	12_8_A
12	8	12_8	shade	0	0	36	B	12_8_B
12	9	12_9	shade	4	0	30	A	12_9_A
12	9	12_9	shade	0	0	25	B	12_9_B
12	10	12_10	shade	2	0	49	A	12_10_A
12	10	12_10	shade	2	0	25	B	12_10_B
13	1	13_1	sun	31	0	25	A	13_1_A
13	1	13_1	sun	30	0	36	B	13_1_B
13	2	13_2	sun	7	4	30	A	13_2_A
13	2	13_2	sun	17	12	42	B	13_2_B
13	3	13_3	sun	11	12	49	A	13_3_A
13	3	13_3	sun	0	0	24	B	13_3_B
13	4	13_4	sun	26	12	56	A	13_4_A
13	4	13_4	sun	0	3	20	B	13_4_B
13	5	13_5	sun	0	0	49	A	13_5_A
13	5	13_5	sun	15	9	49	B	13_5_B
13	6	13_6	sun	0	0	56	A	13_6_A
13	6	13_6	sun	7	0	56	B	13_6_B
13	7	13_7	sun	0	0	9	A	13_7_A
13	7	13_7	sun	0	0	9	B	13_7_B
13	8	13_8	sun	35	11	42	A	13_8_A
13	8	13_8	sun	33	7	56	B	13_8_B
13	9	13_9	sun	14	5	42	A	13_9_A
13	9	13_9	sun	15	2	25	B	13_9_B
13	10	13_10	sun	2	10	49	A	13_10_A
13	10	13_10	sun	19	6	63	B	13_10_B
14	1	14_1	sun	17	0	81	A	14_1_A
14	1	14_1	sun	9	2	72	B	14_1_B
14	2	14_2	sun	7	0	110	A	14_2_A
14	2	14_2	sun	8	1	72	B	14_2_B
14	3	14_3	sun	12	3	36	A	14_3_A
14	3	14_3	sun	18	0	64	B	14_3_B
14	4	14_4	sun	28	0	110	A	14_4_A
14	4	14_4	sun	54	10	144	B	14_4_B
14	5	14_5	sun	12	0	36	A	14_5_A
14	5	14_5	sun	5	0	36	B	14_5_B
14	6	14_6	sun	31	0	36	A	14_6_A
14	6	14_6	sun	45	1	72	B	14_6_B
14	7	14_7	sun	19	5	56	A	14_7_A
14	7	14_7	sun	10	7	49	B	14_7_B
14	8	14_8	sun	20	6	100	A	14_8_A
14	8	14_8	sun	8	10	100	B	14_8_B
14	9	14_9	sun	12	4	30	A	14_9_A
14	9	14_9	sun	17	1	30	B	14_9_B
14	10	14_10	sun	19	3	72	A	14_10_A
14	10	14_10	sun	29	2	72	B	14_10_B
15	1	15_1	sun	24	6	20	A	15_1_A
15	1	15_1	sun	15	1	8	B	15_1_B
15	2	15_2	sun	13	6	16	A	15_2_A
15	2	15_2	sun	19	3	16	B	15_2_B
15	3	15_3	sun	15	3	9	A	15_3_A
15	3	15_3	sun	12	1	9	B	15_3_B
15	4	15_4	sun	9	0	35	A	15_4_A
15	4	15_4	sun	8	1	24	B	15_4_B
15	5	15_5	sun	5	4	9	A	15_5_A
15	5	15_5	sun	20	2	20	B	15_5_B
15	6	15_6	sun	9	6	20	A	15_6_A
15	6	15_6	sun	16	2	20	B	15_6_B
15	7	15_7	sun	9	10	30	A	15_7_A
15	7	15_7	sun	7	3	30	B	15_7_B
15	8	15_8	sun	6	11	25	A	15_8_A
15	8	15_8	sun	7	8	25	B	15_8_B
15	9	15_9	sun	12	2	16	A	15_9_A
15	9	15_9	sun	13	3	20	B	15_9_B
15	10	15_10	sun	17	2	25	A	15_10_A
15	10	15_10	sun	17	6	30	B	15_10_B
16	1	16_1	shade	0	0	25	A	16_1_A
16	1	16_1	shade	8	0	48	B	16_1_B
16	2	16_2	shade	2	0	36	A	16_2_A
16	2	16_2	shade	1	0	36	B	16_2_B
16	3	16_3	shade	0	0	42	A	16_3_A
16	3	16_3	shade	0	0	42	B	16_3_B
16	4	16_4	shade	3	0	30	A	16_4_A
16	4	16_4	shade	2	0	30	B	16_4_B
16	5	16_5	shade	11	0	56	A	16_5_A
16	5	16_5	shade	7	1	42	B	16_5_B
16	6	16_6	shade	0	0	42	A	16_6_A
16	6	16_6	shade	0	0	25	B	16_6_B
