elevation	light	par	canopy	dbh				
3460.6992	sun	1980	99.84	0				
3252.5208	sun	2030	82.94	0				
3261.0552	sun	2034	95.42	0				
3219.9072	sun	2134	99.84	0				
3023.3112	sun	2026	88.14	0				
3994.3896	sun	1933	86.84	0				
4057.7862	sun	1780	96.2	0				
4082.0142	sun	1870	88.4	0				
4057	sun	1850	99.84	0				
3218.3832	shade	300	6.76	10				
3240.3288	shade	130	8.06	121.75				
3243.6816	shade	130	4.16	83.25				
3249.7776	shade	28	3.38	81.75				
3012.948	shade	35	5.72	72.25				
3994.3896	shade	32	3.9	101				
4051.7292	shade	54	4.68	98				
4046.076	shade	60	4.16	140.5				
4050.5178	shade	40	7.28	78.75				
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
