stipples	eggs	env	cage	area
0	0	Shade	1	8.4
1	0	Shade	1	15.21
0	0	Sun	1	8.64
0	0	Sun	1	9.9
1	0	Shade	2	14.7
0	0	Shade	2	14.19
0	0	Sun	2	11.55
0	0	Sun	2	14.4
37	11	Shade	3	15.21
10	5	Shade	3	16.8
3	3	Sun	3	12.96
2	3	Sun	3	10.5
68	9	Shade	4	10.8
1	1	Shade	4	15.12
8	7	Sun	4	12.16
2	2	Sun	4	8.4
12	5	Shade	5	12.6
114	19	Shade	5	16.77
2	2	Sun	5	17.22
9	5	Sun	5	13.65
8	2	Shade	6	14.82
5	0	Shade	6	22
1	0	Sun	6	13.68
1	0	Sun	6	14.04
5	6	Shade	7	16.92
6	6	Shade	7	15.84
0	0	Sun	7	11.2
3	2	Sun	7	15.6
8	4	Shade	8	14
26	2	Shade	8	20.16
13	11	Sun	8	21
5	2	Sun	8	23.6
2	2	Shade	9	16.2
23	3	Shade	9	15.2
2	1	Sun	9	24.3
4	0	Sun	9	31.36
42	9	Shade	10	11.9
47	1	Shade	10	9.92
1	0	Sun	10	12.24
16	13	Sun	10	10.88
6	1	Shade	11	12.95
16	11	Shade	11	14.7
2	0	Sun	11	7.5
0	0	Sun	11	12.16
113	5	Shade	12	12.25
4	3	Shade	12	11.56
3	2	Sun	12	11.9
3	4	Sun	12	9.6
84	7	Shade	13	11.9
32	0	Shade	13	13.32
3	0	Sun	13	10.85
0	0	Sun	13	10.88
2	1	Shade	14	16.8
5	2	Shade	14	11.2
6	4	Sun	14	12.25
3	3	Sun	14	9.92
8	4	Shade	15	15.12
21	0	Shade	15	10.24
14	4	Sun	15	13.32
3	4	Sun	15	14

