stipples	eggs	leafnum	env	plant	cage
17	6	1	Shade	B2	C2
0	0	1	Sun	C5	C5
2	1	1	Shade	B1	C1
0	0	1	Shade	A1	C1
1	0	1	Shade	A5	C5
27	15	1	Shade	A8	C8
0	0	1	Sun	C3	C3
0	0	1	Sun	C6	C6
0	0	1	Shade	B7	C7
0	0	1	Sun	C7	C7
0	2	1	Shade	A6	C6
0	0	1	Shade	B8	C8
0	0	1	Sun	D2	C2
6	0	1	Sun	C4	C4
6	1	1	Shade	B6	C6
0	0	1	Sun	D1	C1
21	0	1	Shade	B3	C3
17	2	1	Shade	A2	C2
14	5	1	Shade	A3	C3
0	0	1	Shade	B5	C5
0	0	1	Shade	B4	C4
13	3	1	Shade	A7	C7
0	0	1	Sun	C2	C2
0	0	1	Sun	D5	C5
0	0	1	Sun	D6	C6
3	3	1	Sun	D8	C8
0	0	1	Shade	A4	C4
0	0	1	Sun	C1	C1
0	8	1	Sun	D3	C3
0	0	1	Sun	D4	C4
0	0	1	Sun	D7	C7
0	0	1	Sun	C8	C8
13	4	2	Shade	A8	C8
13	0	2	Shade	B1	C1
3	0	2	Shade	A5	C5
2	0	2	Sun	C3	C3
9	4	2	Shade	B2	C2
0	0	2	Shade	A1	C1
1	0	2	Shade	B8	C8
0	0	2	Sun	C5	C5
5	2	2	Shade	A3	C3
18	0	2	Shade	B3	C3
3	0	2	Shade	B6	C6
1	0	2	Sun	C6	C6
3	1	2	Sun	C7	C7
11	0	2	Shade	A6	C6
7	1	2	Shade	A2	C2
4	0	2	Sun	D1	C1
0	3	2	Sun	D6	C6
8	0	2	Sun	C4	C4
1	1	2	Shade	A7	C7
0	0	2	Shade	B7	C7
0	0	2	Sun	C2	C2
0	0	2	Sun	D2	C2
2	0	2	Sun	D4	C4
1	1	2	Sun	D8	C8
0	0	2	Shade	B4	C4
0	0	2	Shade	B5	C5
0	0	2	Sun	D5	C5
0	0	2	Shade	A4	C4
0	0	2	Sun	C1	C1
0	5	2	Sun	D3	C3
0	0	2	Sun	D7	C7
0	0	2	Sun	C8	C8
9	2	3	Shade	B2	C2
1	0	3	Sun	C3	C3
0	0	3	Shade	B8	C8
4	0	3	Shade	B1	C1
0	0	3	Shade	A5	C5
0	0	3	Sun	C5	C5
24	3	3	Shade	A3	C3
0	0	3	Shade	B5	C5
0	0	3	Shade	A7	C7
3	0	3	Shade	A8	C8
0	0	3	Shade	A1	C1
0	0	3	Sun	D4	C4
5	0	3	Sun	C6	C6
3	0	3	Shade	B7	C7
23	0	3	Shade	B3	C3
4	0	3	Shade	A6	C6
1	0	3	Sun	C7	C7
0	0	3	Shade	A2	C2
1	1	3	Shade	B6	C6
6	1	3	Sun	C4	C4
0	0	3	Sun	C8	C8
0	0	3	Sun	C1	C1
1	0	3	Sun	D2	C2
4	0	3	Sun	D1	C1
2	0	3	Sun	C2	C2
15	2	3	Shade	B4	C4
2	1	3	Sun	D5	C5
8	2	3	Sun	D7	C7
0	0	3	Sun	D8	C8
2	1	3	Sun	D6	C6
0	0	3	Shade	A4	C4
0	0	3	Sun	D3	C3
0	0	4	Shade	B8	C8
27	0	4	Shade	B2	C2
2	0	4	Shade	A5	C5
16	4	4	Shade	B1	C1
0	0	4	Sun	C5	C5
0	0	4	Shade	B5	C5
3	0	4	Shade	B3	C3
0	0	4	Shade	A8	C8
0	0	4	Sun	C3	C3
0	0	4	Shade	B7	C7
0	0	4	Shade	A1	C1
1	1	4	Sun	D4	C4
2	2	4	Shade	A2	C2
4	0	4	Shade	A3	C3
0	0	4	Sun	C8	C8
24	9	4	Shade	B6	C6
1	0	4	Sun	D2	C2
5	0	4	Shade	A6	C6
0	0	4	Sun	C6	C6
0	0	4	Sun	D8	C8
0	0	4	Sun	C1	C1
0	0	4	Sun	D1	C1
11	0	4	Sun	C2	C2
0	0	4	Sun	C7	C7
3	0	4	Sun	C4	C4
14	0	4	Sun	D6	C6
4	1	4	Shade	A7	C7
0	0	4	Sun	D5	C5
5	2	4	Shade	B4	C4
1	0	4	Sun	D7	C7
0	0	4	Shade	A4	C4
0	0	4	Sun	D3	C3
0	0	5	Shade	B3	C3
0	0	5	Shade	A5	C5
0	0	5	Sun	C5	C5
10	3	5	Shade	B1	C1
0	0	5	Shade	A8	C8
0	0	5	Sun	C3	C3
0	0	5	Shade	B8	C8
1	0	5	Shade	A2	C2
1	0	5	Shade	B2	C2
0	0	5	Shade	B5	C5
3	0	5	Shade	A3	C3
2	0	5	Sun	D4	C4
1	1	5	Shade	B7	C7
0	0	5	Shade	A1	C1
0	0	5	Sun	C8	C8
3	1	5	Shade	A6	C6
0	0	5	Shade	A7	C7
0	0	5	Sun	C7	C7
0	0	5	Sun	C1	C1
1	0	5	Sun	C2	C2
8	2	5	Shade	B6	C6
0	0	5	Sun	C6	C6
1	1	5	Sun	D7	C7
1	0	5	Shade	B4	C4
2	0	5	Sun	D2	C2
2	0	5	Sun	D8	C8
0	0	5	Sun	D1	C1
1	0	5	Sun	D5	C5
11	0	5	Sun	D6	C6
8	0	5	Sun	C4	C4
1	1	5	Shade	A4	C4
0	0	5	Sun	D3	C3
0	0	6	Shade	B5	C5
2	0	6	Shade	A3	C3
5	0	6	Shade	B3	C3
1	0	6	Shade	A5	C5
0	0	6	Shade	B8	C8
3	0	6	Shade	A2	C2
0	0	6	Sun	D4	C4
0	0	6	Sun	C5	C5
0	0	6	Shade	B1	C1
4	0	6	Sun	C3	C3
6	0	6	Shade	A8	C8
0	0	6	Sun	D5	C5
8	0	6	Shade	B2	C2
2	0	6	Shade	B7	C7
14	0	6	Shade	B6	C6
7	0	6	Shade	A7	C7
0	0	6	Sun	C7	C7
0	0	6	Sun	C8	C8
0	0	6	Sun	C2	C2
1	0	6	Sun	C6	C6
0	0	6	Shade	A1	C1
3	0	6	Shade	B4	C4
0	0	6	Sun	C1	C1
0	0	6	Sun	D8	C8
2	2	6	Shade	A6	C6
3	0	6	Sun	D7	C7
0	0	6	Sun	D1	C1
0	0	6	Sun	D6	C6
1	0	6	Shade	A4	C4
0	0	6	Sun	D2	C2
0	0	6	Sun	D3	C3
1	0	7	Shade	B5	C5
3	0	7	Shade	A3	C3
0	0	7	Shade	B8	C8
0	0	7	Shade	A2	C2
4	0	7	Shade	B3	C3
1	1	7	Sun	C8	C8
1	0	7	Shade	A5	C5
1	0	7	Sun	D5	C5
3	0	7	Shade	B1	C1
0	0	7	Sun	C5	C5
0	0	7	Sun	C2	C2
1	0	7	Sun	C3	C3
6	1	7	Shade	B7	C7
0	0	7	Sun	C7	C7
1	0	7	Shade	A7	C7
0	0	7	Sun	C1	C1
0	0	7	Shade	B2	C2
0	0	7	Sun	D4	C4
6	0	7	Shade	A6	C6
1	0	7	Shade	B6	C6
2	0	7	Sun	C6	C6
0	0	7	Sun	D8	C8
0	0	7	Shade	A1	C1
2	0	7	Shade	B4	C4
6	0	7	Sun	D7	C7
0	0	7	Shade	A8	C8
3	0	7	Sun	D6	C6
4	0	7	Shade	A4	C4
0	0	7	Sun	D1	C1
0	0	7	Sun	D2	C2
0	0	7	Sun	D3	C3
0	0	8	Sun	C1	C1
1	0	8	Shade	A5	C5
1	0	8	Shade	B5	C5
2	0	8	Shade	A2	C2
0	0	8	Shade	A7	C7
0	0	8	Shade	B7	C7
0	0	8	Sun	C8	C8
0	0	8	Shade	B8	C8
0	0	8	Sun	C5	C5
0	0	8	Sun	C2	C2
4	0	8	Shade	B3	C3
0	0	8	Sun	D4	C4
0	0	8	Sun	C3	C3
0	0	8	Sun	D5	C5
5	0	8	Shade	B1	C1
3	0	8	Sun	C6	C6
0	0	8	Sun	D6	C6
0	0	8	Shade	B4	C4
7	1	8	Shade	A6	C6
0	0	8	Sun	D7	C7
0	0	8	Shade	B2	C2
3	0	8	Shade	A3	C3
0	0	8	Shade	B6	C6
0	0	8	Sun	D8	C8
0	0	8	Shade	A8	C8
8	3	8	Shade	A4	C4
0	0	8	Shade	A1	C1
0	0	8	Sun	D1	C1
0	0	8	Sun	D2	C2
0	0	8	Sun	D3	C3
0	0	8	Sun	C7	C7
0	0	9	Shade	A2	C2
1	0	9	Shade	B5	C5
0	0	9	Sun	C8	C8
0	0	9	Shade	A5	C5
0	0	9	Sun	C2	C2
0	0	9	Shade	B8	C8
0	0	9	Sun	C5	C5
0	0	9	Shade	A7	C7
1	0	9	Sun	C7	C7
5	0	9	Shade	B7	C7
2	0	9	Shade	A3	C3
0	0	9	Sun	D4	C4
1	0	9	Sun	C6	C6
1	0	9	Shade	B1	C1
0	0	9	Sun	C1	C1
0	0	9	Sun	D5	C5
9	2	9	Shade	A4	C4
0	0	9	Sun	D6	C6
9	0	9	Sun	C3	C3
0	0	9	Shade	B4	C4
0	0	9	Sun	D7	C7
0	0	9	Sun	D8	C8
0	0	9	Shade	A6	C6
0	0	9	Shade	B6	C6
0	0	9	Shade	A8	C8
0	0	9	Shade	A1	C1
0	0	9	Sun	D2	C2
0	0	9	Sun	D3	C3
0	0	10	Sun	C8	C8
0	0	10	Sun	C2	C2
0	0	10	Shade	A5	C5
1	0	10	Shade	B5	C5
3	0	10	Shade	A7	C7
8	0	10	Sun	C7	C7
0	0	10	Shade	A2	C2
0	0	10	Sun	C6	C6
0	0	10	Shade	B8	C8
0	0	10	Sun	C5	C5
2	0	10	Shade	B7	C7
0	0	10	Sun	D4	C4
3	0	10	Sun	D7	C7
0	0	10	Sun	C1	C1
1	0	10	Shade	B1	C1
1	0	10	Sun	D5	C5
1	0	10	Shade	B4	C4
23	0	10	Shade	A4	C4
0	0	10	Sun	D8	C8
1	0	10	Sun	C3	C3
0	0	10	Sun	D6	C6
0	0	10	Shade	A6	C6
0	0	10	Shade	B6	C6
0	0	10	Sun	D2	C2
0	0	11	Sun	C2	C2
0	0	11	Shade	B5	C5
3	0	11	Sun	C8	C8
0	0	11	Shade	A5	C5
2	0	11	Sun	C6	C6
10	0	11	Sun	C7	C7
0	0	11	Sun	C1	C1
0	0	11	Sun	C5	C5
1	1	11	Shade	A7	C7
0	0	11	Sun	D4	C4
0	0	11	Sun	D7	C7
0	0	11	Shade	B7	C7
0	0	11	Shade	B8	C8
0	0	11	Shade	B4	C4
0	0	11	Shade	A2	C2
1	0	11	Sun	C3	C3
0	0	11	Sun	D8	C8
0	0	11	Shade	B1	C1
0	0	11	Sun	D6	C6
0	0	11	Sun	D2	C2
0	0	12	Sun	C2	C2
0	0	12	Sun	C8	C8
0	0	12	Sun	C6	C6
0	0	12	Shade	B5	C5
0	0	12	Sun	C7	C7
0	0	12	Shade	B7	C7
0	0	12	Sun	C1	C1
0	0	12	Sun	D7	C7
0	0	12	Shade	A7	C7
0	0	12	Shade	B4	C4
1	0	12	Sun	C3	C3
0	0	12	Sun	D8	C8
0	0	12	Sun	D2	C2
0	0	13	Sun	C2	C2
0	0	13	Sun	C8	C8
0	0	13	Sun	C6	C6
0	0	13	Sun	C7	C7
0	0	13	Sun	C1	C1
0	0	13	Sun	D7	C7
0	0	13	Shade	A7	C7
0	0	13	Sun	D2	C2
0	0	14	Sun	C6	C6
0	0	14	Sun	C2	C2
0	0	14	Sun	C7	C7
0	0	14	Sun	D7	C7
0	0	14	Sun	D2	C2
0	0	15	Sun	C6	C6
0	0	15	Sun	D2	C2
0	0	16	Sun	C6	C6
0	0	16	Sun	D2	C2
0	0	17	Sun	C6	C6
