"2.5 %"	"97.5 %"	"Estimate"
"cond.(Intercept)"	-3.97183294486987	-0.801170114647973	-2.38650152975892
"cond.width"	0.0194781493203905	0.116523683242311	0.0680009162813508
"cond.lightlight"	1.01724743216091	3.22357633465388	2.1204118834074
"cond.tempwarm"	-0.15258126085888	1.95849707051686	0.90295790482899
"cond.Std.Dev.side:(room:batch).(Intercept)"	0.386515701965911	1.93265943842433	0.864293479961306
"cond.Std.Dev.room:batch.(Intercept)"	0	Inf	0.000218626503958277
"cond.Std.Dev.batch.(Intercept)"	0	Inf	2.84820487799354e-05
"sigma"	0.0250526115859015	0.122583228427237	0.0554168747651238
"sigma"	1.64149180842028	7.10932463832084	3.41612326434573
"sigma"	1.32648494710286	4.91384663073744	2.55306552756589
