"2.5 %"	"97.5 %"	"Estimate"
"cond.(Intercept)"	-6.59328382882966	-3.13019707083764	-4.86174044983365
"cond.width"	0.01792421072441	0.0921835504448485	0.0550538805846293
"cond.lightlight"	2.40427478745976	4.84295143414535	3.62361311080256
"cond.tempwarm"	0.543413374279593	3.64452278951688	2.09396808189824
"cond.sourceSun"	-0.435339018513875	0.324978811454764	-0.0551801035295555
"cond.lightlight:tempwarm"	-3.61942121132054	-0.645772550268668	-2.13259688079461
"cond.Std.Dev.side:(cage:batch_2015).(Intercept)"	0.0313203780232895	3.56801657369319	0.33429272783211
"cond.Std.Dev.cage:batch_2015.(Intercept)"	0.0431023275749643	3.06883733350171	0.363694971126727
"cond.Std.Dev.batch_2015.(Intercept)"	0.145883633965061	1.3181538099111	0.438516895814429
"sigma"	0.0492397412287727	0.266583095891736	0.114570863039754
"sigma"	0.589169476781375	1.34064696635776	0.888745335693831
